Product;Financial_event;Financial_event_step;Financial_event_amount;Financial_event_type;Debit_account_label;Credit_account_label;Reversed;Description;Help
Bond - FVTOCI - Held  to maturity;Bond Premium Amortization;5;50;Premium;Interest Income;Carrying Amount;No;;
Bond - FVTOCI - Held  to maturity;Coupon received;6;20;Interest;Cash Nostro;Interest Income;No;;Coupon payment
Bond - FVTOCI - Held  to maturity;Redemption (Cost);7;1050;Principal;Cash Nostro;Carrying Amount;No;;Redemption at purchase price
Bond - FVTOCI - Held  to maturity;Redemption - Realized P/L Loss;7;50;P&L;POS Realized Loss;Cash Nostro;No;;
;;;;;;;;;
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade commitment - Capital;1;1000;Initial capital;OBS Trade Commitment;OBS Offset;No;A bond measured at FVTOCI is carried at fair value, but unrealized gains or losses go to other comprehensive income while interest revenue and impairments affect profit or loss.;Trade date
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade commitment - Premium;1;50;Premium;OBS Trade Commitment;OBS Offset;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade commitment - Accruals;1;10;Accruals;OBS Trade Commitment;OBS Offset;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;FV OBS Valuation (profit);2;1;Fair value profit;Unreal. UnSettl. POS;UnSettl.POS MtM Gain;Yes;;OBS revaluation
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade uncommitment - Capital;3;1000;Initial capital;OBS Offset;OBS Trade Commitment;No;;Settlement date
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade uncommitment - Premium;3;50;Premium;OBS Offset;OBS Trade Commitment;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade uncommitment - Accruals;3;10;Accruals;OBS Offset;OBS Trade Commitment;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;Asset position opening;3;1050;Purchase price (Clean);Carrying Amount;Cash Nostro;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;Realized interest expense;3;10;Accrued interest purchased;Interest Income;Cash Nostro;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;Accrued interest;4;12;Accruals;Accrued Interests;Interest Income;Yes;;Accrued interests and MTM valuation
Bond - FVTOCI - Purchased @Premium and sold for profit;MTM FVTOCI POS BS Value measurement - Profit;4;2;MTM;Carrying Amount;Equity OCI;Yes;;
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade commitment - Capital;5;1000;Initial capital;OBS Offset;OBS Trade Commitment;No;;Sell the bond for profit
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade commitment - Premium;5;50;Premium;OBS Offset;OBS Trade Commitment;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade commitment - Accruals;5;10;Accruals;OBS Offset;OBS Trade Commitment;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;FV OBS Valuation (Profit);6;1;Fair value profit;Unreal. UnSettl. POS;UnSettl.POS MtM Gain;Yes;;OBS revaluation
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade uncommitment - Capital;7;1000;Initial capital;OBS Trade Commitment;OBS Offset;No;;Sale settlement
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade uncommitment - Premium;7;50;Premium;OBS Trade Commitment;OBS Offset;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;OBS trade uncommitment - Accruals;7;10;Accruals;OBS Trade Commitment;OBS Offset;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;Bond cash delivery sale trade;7;1050;Purchase price (Clean);Cash Nostro;Carrying Amount;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;Accrued interests sale;7;12;Accruals;Cash Nostro;Interest Income;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;Realized PL Profit on sale @value date;7;30;PnL;Cash Nostro;;No;;
Bond - FVTOCI - Purchased @Premium and sold for profit;Realized amortization @value date profit on sale;7;4;Amortization;Interest Income;;No;;
;;;;;;;;;
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade commitment - Capital;1;1000;Initial capital;OBS Trade Commitment;OBS Offset;No;A bond measured at FVTOCI is carried at fair value, but unrealized gains or losses go to other comprehensive income while interest revenue and impairments affect profit or loss.;Trade date
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade commitment - Discount;1;50;Discount;OBS Trade Commitment;OBS Offset;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade commitment - Accruals;1;10;Accruals;OBS Trade Commitment;OBS Offset;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;FV OBS Valuation (profit);2;1;Fair value profit;Unreal. UnSettl. POS;UnSettl.POS MtM Gain;Yes;;OBS revaluation
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade uncommitment - Capital;3;1000;Initial capital;OBS Offset;OBS Trade Commitment;No;;Settlement date
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade uncommitment - Discount;3;50;Discount;OBS Offset;OBS Trade Commitment;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade uncommitment - Accruals;3;10;Accruals;OBS Offset;OBS Trade Commitment;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;Asset position opening;3;950;Purchase price (Clean);Carrying Amount;Cash Nostro;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;Realized interest expense;3;10;Accrued interest purchased;Interest Income;Cash Nostro;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;Accrued interest;4;12;Accruals;Accrued Interests;Interest Income;Yes;;Accrued interests and MTM valuation
Bond - FVTOCI - Purchased @Discount and sold for loss;MTM FVTOCI POS BS Value measurement - Loss;4;2;MTM;Equity OCI;Carrying Amount;Yes;;
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade commitment - Capital;5;1000;Initial capital;OBS Offset;OBS Trade Commitment;No;;Sell the bond for profit
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade commitment - Discount;5;50;Discount;OBS Offset;OBS Trade Commitment;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade commitment - Accruals;5;12;Accruals;OBS Offset;OBS Trade Commitment;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;FV OBS Valuation (Loss);6;1;Fair value loss;UnSettl.POS MtM Loss;Unreal. UnSettl. POS;Yes;;OBS revaluation
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade uncommitment - Capital;7;1000;Initial capital;OBS Trade Commitment;OBS Offset;No;;Sale settlement
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade uncommitment - Discount;7;50;Discount;OBS Trade Commitment;OBS Offset;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;OBS trade uncommitment - Accruals;7;10;Accruals;OBS Trade Commitment;OBS Offset;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;Bond cash delivery sale trade;7;950;Purchase price (Clean);Cash Nostro;Carrying Amount;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;Accrued interests sale;7;12;Accruals;Cash Nostro;Interest Income;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;Realized PL Loss on sale @value date;7;30;PnL;POS Realized Gain;Cash Nostro;No;;
Bond - FVTOCI - Purchased @Discount and sold for loss;Realized amortization @value date loss on sale;7;4;Amortization;POS Realized Gain;Interest Income;No;;
;;;;;;;;;
Commodities Cleared Swap - Trading derivative - Profit;OBS Notional Payable@TradeDate;1;1000;Notional;Contingent Contra;Contingent Payable;No;A commodity cleared swap is a standardized, plain vanilla OTC commodity swap, centrally cleared on the Exchange.;Trade date
Commodities Cleared Swap - Trading derivative - Profit;OBS Notional Receivable@TradeDate;1;1000;Notional;Contingent Receivable;Contingent Contra;No;;
Commodities Cleared Swap - Trading derivative - Profit;Brokerage Payable@TradeDate;1;1;Fees;Brokerage Expense;Brokerage Payable;No;;
Commodities Cleared Swap - Trading derivative - Profit;Brokerage Pay@PaymentDate;2;1;Fees;Brokerage Payable;Cash Nostro;No;;Payment date
Commodities Cleared Swap - Trading derivative - Profit;Revaluation (MtM) - Gain;3;10;Revaluation amount;Unrealized Asset;MTM Gain;Yes;;Revaluation
Commodities Cleared Swap - Trading derivative - Profit;Cash Settlement Receivable@TradeDate;4;5;Settlement amount;Settlement Receivable;Realized Gain;No;;Settlement trade date
Commodities Cleared Swap - Trading derivative - Profit;Cash Settlement Receive@PaymentDate;5;5;Settlement amount;Cash Nostro;Settlement Receivable;No;;Settlement payment date
Commodities Cleared Swap - Trading derivative - Profit;OBS Notional Payable reversal@Maturity;6;1000;Notional;Contingent Contra;Contingent Payable;No;;Expiry date
Commodities Cleared Swap - Trading derivative - Profit;OBS Notional Receivable reversal@Maturity;6;1000;Notional;Contingent Receivable;Contingent Contra;No;;
